Title,Description,Link,Category,Subcategory,Source
"Fruit and vegetable consumption, 2014 (Health Fact Sheets)
","This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. Fruit and vegetable consumption data are based on a survey question that measures the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. In 2014, 39.5% of Canadians aged 12 and older, roughly 11.2 million people, reported that they consumed fruit and vegetables five or more times per day. This rate is a decrease from 40.8% in 2013. Reported fruit and vegetable consumption has been lower in the last five years compared to 2009 when it peaked at 45.6%. From 2001 to 2014, females were more likely than males to consume fruit and vegetables five or more times daily. In 2014, 46.6% (6.7 million) of females consumed fruit and vegetables five or more times daily, compared with 32.1% (4.5 million) of males (Chart 1). In 2014, more than 44% of females in each age group reported that they ate fruit and vegetables five or more times daily. The rate was higher for females than for males in all age groups. Young males aged 12 to 19 (39.3%) were more likely to consume fruit and vegetables five or more times a day compared to males in all other age groups. The proportion of residents who reported eating fruit and vegetables at least five tim s daily was lower than the national average (39.5%) in: Newfoundland and Labrador (25.7%) Prince Edward Island (30.9%) Nova Scotia (30.9%) New Brunswick (34.3%) Ontario (38.1%) Manitoba (31.0%) Saskatchewan (36.0%) Northwest Territories (31.8%) Nunavut (23.9%) The proportion of residents who reported eating fruit and vegetables at least five times daily was higher than the national average in Quebec (46.3%). Residents of Alberta, British Columbia, and Yukon reported rates that were about the same rate as the national average. 




",https://www150.statcan.gc.ca/n1/pub/82-625-x/2015001/article/14182-eng.htm,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2013 (Health Fact Sheets)
","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. Fruit and vegetable consumption data are based on a survey question that measures the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. In 2013, 40.8% of Canadians aged 12 and older, roughly 11.5 million people, reported that they consumed fruit and vegetables five or more times per day. This rate has remained unchanged since 2011. Reported fruit and vegetable consumption had increased to 45.6% in 2009, and then decreased two years in a row in 2010 and again in 2011, marking the first decline in the rate since 2001. From 2001 to 2013, females were more likely than males to consume fruit and vegetables five or more times daily. In 2013, 47.4% (6.8 million) of females consumed fruit and vegetables five or more times daily, compared to 34.0% (4.7 million) of males. In 2013, more than 44% of females in each age group reported that they ate fruit and vegetables five or more times daily. The rate was higher for females than for males in all age groups. Young males aged 12 to 19 (41.0%) were more likely to consume fruit and vegetables five or more times a day compared to males in all other age groups.The proportion of residents who reported eating fruit and vegetables at least five times daily was lower than the national average (40.8%) in: Newfoundland and Labrador (25.5%) Prince Edward Island (32.5%) Nova Scotia (33.3%) New Brunswick (35.9%) Ontario (39.4%) Manitoba (31.9%) Yukon (32.6%) Nunavut (23.3%) The proportion of residents who reported eating fruit and vegetables at least five times daily was higher than the national average only in Quebec (46.9%). Residents of Saskatchewan, Alberta, British Columbia, and Northwest Territories reported rates that were about the same rate as the national average.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2014001/article/14018-eng.htm,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2012 (Health Fact Sheets)
","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. Fruit and vegetable consumption data are based on a survey question that measures the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. In 2012, 40.6% of Canadians aged 12 and older, roughly 11.3 million people, reported that they consumed fruit and vegetables five or more times per day.  This rate is unchanged from 2011.  Fruit and vegetable consumption peaked in 2009 at 45.6%, and then decreased two years in a row in 2010 and again in 2011, marking the first decline in the rate since 2001. From 2001 to 2012, females were more likely than males to consume fruit and vegetables five or more times daily. In 2012, 47.0% (6.6 million) of females consumed fruit and vegetables five or more times daily, compared to 33.9% (4.6 million) of males. In 2012, more than 45.5% of females in each age group reported that they ate fruit and vegetables five or more times daily. The rate was higher for females than for males in all age groups, except for those aged 12 to 19.  Young males aged 12 to 19 (43.5%) were more likely to consume fruit and vegetables five or more times a day compared to males in all other age groups. The proportion of residents who reported eating fruit and vegetables at least five times daily was lower than the national average (40.6%) in: Newfoundland and Labrador (25.1%) Prince Edward Island (34.6%) Nova Scotia (32.9%) New Brunswick (31.7%) Ontario (39.4%) Manitoba (37.0%) Saskatchewan (37.8%) Alberta (37.6%) Nunavut (28.1%) The proportion of residents who reported eating fruit and vegetables at least five times daily was higher than the national average only in Quebec (46.8%).   Residents of British Columbia, Yukon, and Northwest Territories reported rates that were about the same rate as the national average.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2013001/article/11837-eng.htm,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2011 (Health Fact Sheets)
","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. Fruit and vegetable consumption data are based on a survey question that measures the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. In 2011, 40.4% of Canadians aged 12 and older reported that they consumed fruit and vegetables five or more times per day, down for a second year in a row since 2009 when the estimate peaked at 45.6%. In 2010, fruit and vegetable consumption had declined for the first time since 2001. From 2001 to 2011, females were more likely than males to consume fruit and vegetables five or more times daily. In 2011, 47.2% of females consumed fruit and vegetables five or more times daily, compared to 33.5% of males. In 2011, more than 44%of females in each age group reported that they ate fruit and vegetables five or more times daily. Young males aged 12-19 (43.7%) were more likely to consume fruit and vegetables five or more times a day compared to males in all other age groups. Quebec (46.8%) was the only jurisdiction in which residents reported eating fruit and vegetables at least five times daily at a rate that was above the national average in 2011. Residents of Alberta (41.7%), British Columbia (40.7%), and Yukon (41.5%) reported consuming fruit and vegetables at least five times daily at about the same rate as the Canadian average. In all other provinces and territories the rate was lower than the national average. ",https://www150.statcan.gc.ca/n1/pub/82-625-x/2012001/article/11661-eng.htm,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2010 (Health Fact Sheets)
","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. Fruit and vegetable consumption data are based on a survey question that measures the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. In 2010, 43.3% of Canadians aged 12 and older reported that they consumed fruit and vegetables five or more times per day, down from 45.6% in 2009. From 2001 to 2010, females were more likely than males to consume fruit and vegetables five or more times daily. In 2010, 49.9% of females consumed fruit and vegetables five or more times daily, compared to 36.4% of males. In 2010, about half of females in all age groups reported that they ate fruit and vegetables five or more times daily. A greater percentage of young males aged 12 to 19 (48.3%) consumed fruit and vegetables five or more times a day, compared to males aged 20 and older. Quebec (50.4%) and Yukon (52.5%) were the only jurisdictions in which residents reported eating fruit and vegetables at least five times daily at a rate that was above the national average in 2010. Residents of Ontario (42.8%) and British Columbia (42.3%) reported consuming fruit and vegetables at least five times daily at about the same rate as the Canadian average. In all other provinces and territories the proportion of residents who consumed fruit and vegetables at least five times daily was lower than the national average.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2011001/article/11461-eng.htm,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2009 (Health Fact Sheets)","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. The fruit and vegetable consumption data are based on a survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the quantity consumed. In 2009, 45.6% of Canadians 12 years and older reported that they consumed fruit and vegetables five or more times per day, up from 43.7% in 2008 and 37.6% in 2001. Females were more likely than males to consume fruits and vegetables five or more times daily. In 2001, 43.0% of females did so; in 2009, 51.4% did so. In 2009, about half of females in all age groups reported eating fruit and vegetables five or more times daily. Across all age groups, the percentage of males eating fruit and vegetables five or more times daily ranged from 35.6% to 46.1%. In Quebec, 54.0% of residents reported eating fruit and vegetables at least five times daily—the only province above the national average rate in 2009. Residents of British Columbia and Yukon reported consuming fruit and vegetables at least five times daily at about the same rate as the Canadian average. In all other provinces and territories, the rate was lower than the national average.

  ",https://www150.statcan.gc.ca/n1/pub/82-625-x/2010002/article/11259-eng.htm,Consumption,Food Consumed,Stats Can
"Fruit and vegetable consumption, 2008 (Health Fact Sheets)","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. The data used here are based on a survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. In 2008, 43.7% of Canadians aged 12 or older reported that they consumed fruit and vegetables five or more times per day, up from 37.6% in 2001. Throughout that period, women were more likely than men to consume fruits and vegetables five or more times daily. In 2008, about half of women in all age groups reported that they ate fruit and vegetables five or more times daily. Among men, boys and youths aged 12 to 19 had the highest rate (47.6%) of consuming fruit and vegetables five or more times a day. Senior men consumed fruit and vegetables less frequently (40.3%) than did 12- to 19-year-olds, but more frequently than did men aged 20 to 64. In Quebec, 53.2% of residents reported eating fruit and vegetables at least five times daily - the only province in which the rate was above the national level in 2008. Alberta and British Columbia were about the same as the national figure and all other provinces and territories were lower. There was no difference between urban and rural areas in 2008 in the consumption of fruit and vegetables five or more times daily.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2010001/article/11101-eng.htm,Consumption,Food Consumed,Stats Can
"Heavy drinking, 2016 (Health Fact Sheets)","This is a Health fact sheet about heavy drinking among Canadians aged 12 and older. The results shown are based on data from the Canadian Community Health Survey. In 2016, 19.0% of Canadians aged 12 and older (roughly 5.8 million people) reported alcohol consumption that classified them as heavy drinkers. The proportion aged 12 and older who reported alcohol consumption that classified them as heavy drinkers remained stable between 2015 and 2016. Overall, males were more likely (23.8%) to report heavy drinking than females (14.2%) in 2016.The highest proportion of heavy drinking for both sexes was among those aged 18 to 34. In this age group, 34.4% of males and 23.4% of females were heavy drinkers. Despite the fact it is illegal to sell alcohol to anyone under 18 in Canada 27.9% of Canadian youth aged 12 to 17 reported consuming an alcoholic beverage in the previous 12 months. Among those who did drink, 41.8% of them did so at least once a month. Overall 4.0% of youth were classified as heavy drinkers. The 2016 Canadian Community Health Survey included questions on alcohol use during the last week. According to Canada”s Low-Risk Alcohol Drinking Guidelines, 16.6% of Canadians are consuming alcohol at a level that puts their long term health at risk. Excessive alcohol consumption can have serious health and social consequences, especially when combined with other behaviours such as driving while intoxicated. For males, heavy drinking refers to having consumed five or more drinks, per occasion, at least once a month during the past year. For females, heavy drinking refers to having consumed four or more drinks, per occasion, at least once a month during the past year. According to Canada”s Low-Risk Alcohol Drinking Guidelines, long term risks for alcohol consumption are liver disease and certain cancers. Males are classified at risk if they had more than 15 drinks in the week of reporting or at least one day with 4 or more drinks. Females are classified at risk if they had more than 10 drinks in the week of reporting or at least one day with 3 or more drinks. For analysis of heavy drinking with other healthy behaviours see the “Healthy Behaviours Fact Sheet”.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2017001/article/54861-eng.htm,Consumption,Food Consumed,Stats Can
"Heavy drinking, 2015 (Health Fact Sheets)","This is a Health fact sheet about heavy drinking among Canadians aged 12 and older. The results shown are based on data from the Canadian Community Health Survey. In 2015, 19.2% of Canadians aged 12 and older, or roughly 5.8 million people, reported alcohol consumption that classified them as heavy drinkers. Overall, males were more likely (24.1%) to report heavy drinking than females (14.5%) in 2015. The highest proportion of heavy drinking for both sexes was among those aged 18 to 34. In this age group, 36.2% of males and 24.9% of females were heavy drinkers. Given that it is illegal to sell alcohol to anyone under 18 in Canada, the amount of heavy drinking among 12 to 17 year olds is expectedly low (4.1%). Despite the laws that prevent underage drinking, youth are still able to consume alcoholic beverages. In 2015, 27.0% of Canadian youth drank an alcoholic beverage in the previous 12 months and 40.8% of them did so at least once a month. The proportion of residents who reported heavy drinking was lower than the national average (19.2%) in British Columbia (17.3%). The proportion of residents who reported heavy drinking was higher than the national average in: Newfoundland and Labrador (25.6%) Quebec (20.2%) Saskatchewan (21.7%). The proportion of residents who reported heavy drinking was the same as the national average in the other provinces. The 2015 Canadian Community Health Survey also included questions on alcohol use during the last week. Of the 5.8 million heavy drinkers in 2015, 58.4% reported a level of alcohol consumption in the last week that put their long term health at risk. Among Canadians who were not heavy drinkers, 6.7% reported a level of consumption in the last week that poses long term risks. On average, Canadians who were classified as heavy drinkers had 9.8 drinks in the past week, compared to non-heavy drinkers who consumed 1.6 drinks.  Excessive alcohol consumption can have serious health and social consequences, especially when combined with other behaviours such as driving while intoxicated. For males, heavy drinking refers to having consumed five or more drinks, per occasion, at least once a month during the past year. For females, heavy drinking refers to having consumed four or more drinks, per occasion, at least once a month during the past year. According to Canada’s Low-Risk Alcohol Drinking Guidelines, long term risks for alcohol consumption are liver disease and certain cancers. Males are classified at risk if they had more than 15 drinks in the week of reporting or at least one day with 4 or more drinks. Females are classified at risk if they had more than 10 drinks in the week of reporting or at least one day with 3 or more drinks.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2017001/article/14765-eng.htm,Consumption,Food Consumed,Stats Can
"Heavy drinking, 2014 (Health Fact Sheets)","This is a Health fact sheet about heavy drinking among Canadians aged 12 and older. The results shown are based on data from the Canadian Community Health Survey. Excessive alcohol consumption can have serious health and social consequences, especially when combined with other behaviours such as driving while intoxicated. For males, heavy drinking refers to having consumed five or more drinks, per occasion, at least once a month during the past year. The same definition applied to females between 2001 and 2012. Starting in 2013, the limit for heavy drinking for females was reduced to four or more drinks. In 2014, 17.9% of Canadians aged 12 and over (5.3 million people) reported alcohol consumption that classified them as heavy drinkers. This was a decrease from 2013 when 18.9% were heavy drinkers. Heavy drinking was reported among 22.7% of males and 13.2% of females in 2014. For males this rate was a significant decrease from 24.5% in 2013. Compared with 2013, the rate of female heavy drinking in 2014 was about the same. Males were more likely to report heavy drinking than females for all ages, except between 12 and 19, where there was no significant difference between the sexes. The highest rate of heavy drinking for males was among those aged 20 to 34 (37.1%). For females, the highest rates were among those aged 18 to 19 and 20 to 34. In the 18 to 19 age group, 27.0% of females reported heavy drinking, and in the 20 to 34 age group, the rate was 23.7%. The proportion of residents who reported heavy drinking was lower than the national average (17.9%) in: Ontario (16.2%) British Columbia (15.8%)
The proportion of residents who reported heavy drinking was higher than the national average in: Newfoundland and Labrador (25.4%) New Brunswick (21.4%) Quebec (20.2%) Yukon (27.8%) Northwest Territories (32.7%) Residents of the other provinces and Nunavut reported rates that were about the same as the national average.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2015001/article/14183-eng.htm,Consumption,Food Consumed,Stats Can
